objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Madeira","95527","7.5","0","0","1","0","0","0","0","0","0","0","1","","","","","","24866086","6.83724","7.52226","4.3013","709","5691","thing","Madeira","2","4","150","150","60","2014","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","B1","2024-09-17","IELLO","French","2014","French edition"
"Madeira: The Ambassadors","157327","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","24866088","5.65205","7.58415","3.8571","0","1034","thing","Madeira: The Ambassadors","2","4","120","120","120","2014","2,3,4","3","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Madeira: The Harvester","152388","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","24866094","5.62851","7.68793","3.5","0","779","thing","Madeira: The Harvester","2","4","120","120","120","2013","2,3,4","3","14+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Magic: The Gathering","463","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","17433126","7.41267","7.59688","3.283","167","47945","thing","Magic: The Gathering","2","6","20","20","20","1993","2,3,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Maglev Maps: Volume 2","437651","0","0","0","1","0","0","0","0","0","0","0","3","Kickstarter","","","","","134751238","0","7.22","0","0","227","thing","Maglev Maps: Volume 2","1","4","90","90","60","2026","","","","","","","","","","expansion","","","","","","","","","","","","Bézier Games","English","2026","English edition"
"Maglev Metro","301257","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","69552763","6.46894","7.18987","2.8642","1400","5621","thing","Maglev Metro","1","4","90","90","60","2021","2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","A7","2022-06-05","Bézier Games","English","2021","English edition"
"The Magnificent","283863","7.5","0","0","1","0","0","0","0","0","0","0","3","La Revanche","","","","","70920107","6.74944","7.46972","3.134","831","7533","thing","The Magnificent","1","4","90","90","60","2019","1,2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","C","","Aporta Games","English","2019","English edition"
"The Magnificent: SNØ","316337","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","80918562","5.67034","7.75539","3.2","0","1017","thing","The Magnificent: SNØ","1","5","120","120","60","2020","4","4","","","","","","","","expansion","","","","","","","","","","","","Aporta Games; Matagot","English; French","2020","English/French edition"
"Maharani: Two-Colored Center Column Tiles","132433","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","41867247","5.53632","6.83667","2.3333","0","486","thing","Maharani: Two-Colored Center Column Tiles","2","4","40","40","40","2012","","","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Maharani: Wild Card Tiles","132432","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","41867246","5.52993","6.88","1.6667","0","461","thing","Maharani: Wild Card Tiles","2","4","40","40","40","2012","","","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Majesty: For the Realm","230080","7.5","22","0","1","0","0","0","0","0","0","0","3","","","","","","47242773","6.53216","6.91897","1.7166","1250","8579","thing","Majesty: For the Realm","2","4","30","30","20","2017","2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","A2","2021-07-11","","","",""
"Mamma Mia!","49","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","11656856","6.21262","6.49149","1.3583","2191","9293","thing","Mamma Mia!","2","5","30","30","30","1998","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","P1","2021-07-11","","","",""
"Mansions of Madness: Second Edition – Sanctum of Twilight: Expansion","241533","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","54631310","6.83332","8.3774","2.65","0","14147","thing","Mansions of Madness: Second Edition – Sanctum of Twilight: Expansion","1","5","180","180","120","2018","1,2,3,4,5","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Marco Polo II: In the Service of the Khan","283948","8","5","0","1","0","0","0","0","0","0","0","1","BoardGameBliss","","","","","81226571","7.36073","7.91952","3.378","203","10343","thing","Marco Polo II: In the Service of the Khan","2","4","120","120","60","2020","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","A3","2024-09-12","Z-Man Games","English","2020","English edition"
"Marrakesh","342810","9","0","0","1","0","0","0","0","0","0","0","3","BoardGameBliss","","","","","95962396","7.15324","8.07455","3.4527","344","7535","thing","Marrakesh","2","4","120","120","120","2022","2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","B5","2024-09-17","Queen Games","English; German","2022","English/German Classic edition"
"Marrakesh: Camels & Nomads","396446","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","130037059","5.69925","7.885","3.5","0","1611","thing","Marrakesh: Camels & Nomads","1","4","120","120","120","2023","3","3","14+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Queen Games","English; French; German","2023","EN/FR/DE edition"
"Marrakesh: Gems & Experts","439215","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","130037062","0","8.02621","0","0","406","thing","Marrakesh: Gems & Experts","2","4","120","120","120","2025","","","","","","","","","","expansion","","","","","","","","","","","","Queen Games","English; French; German","2025","ENG/FRE/GER edition"
"Marrakesh: Queenie 1 – Boats & Queenie 2 – Chess Sets","430658","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133142379","0","7.38","0","0","286","thing","Marrakesh: Queenie 1 – Boats & Queenie 2 – Chess Sets","2","4","120","120","120","2024","","","","","","","","","","expansion","","","","","","","","","","","","Queen Games","English; German","2024","Multilingual edition"
"Marvel Champions: The Card Game","285774","9","13","0","1","0","0","0","0","0","0","0","3","BoardGameBliss","","","","","63352211","7.78627","8.10329","2.9602","48","48148","thing","Marvel Champions: The Card Game","1","4","90","90","45","2019","1,2,3","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","D5","2024-09-09","Fantasy Flight Games","English","2019","English edition"
"Marvel Champions: The Card Game – Agents of S.H.I.E.L.D.","430260","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","129445889","5.78571","8.52045","3","0","3203","thing","Marvel Champions: The Card Game – Agents of S.H.I.E.L.D.","1","4","90","90","45","2025","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Marvel Champions: The Card Game – Ant-Man Hero Pack","315981","8","0","0","1","0","0","0","0","0","0","0","1","BoardGameBliss","","","","","74278325","6.4709","8.33664","2.7143","0","10123","thing","Marvel Champions: The Card Game – Ant-Man Hero Pack","1","4","90","90","45","2020","1,2,3,4","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Marvel Champions: The Card Game – Black Widow Hero Pack","299049","0","0","0","1","0","0","0","0","0","0","0","1","BoardGameBliss","","","","","68662895","6.50185","8.07936","2.8571","0","11813","thing","Marvel Champions: The Card Game – Black Widow Hero Pack","1","4","90","90","45","2020","1,2,3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","BoardGameBliss","","","Fantasy Flight Games","English","2020","English edition"
"Marvel Champions: The Card Game – Captain America Hero Pack","289222","0","0","0","1","0","0","0","0","0","0","0","1","BoardGameBliss","","","","","64624810","6.8534","8.42157","2.4","0","13512","thing","Marvel Champions: The Card Game – Captain America Hero Pack","1","4","90","90","45","2019","1,2,3,4","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Marvel Champions: The Card Game – Cyclops Hero Pack","365913","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","96720460","6.00652","8.30854","2.6667","0","5751","thing","Marvel Champions: The Card Game – Cyclops Hero Pack","1","4","90","90","45","2022","1,2,3","1,2","12+","","","","","","","expansion","","","","","","","","","","","","Fantasy Flight Games","English","2022","English edition"
"Marvel Champions: The Card Game – Doctor Strange Hero Pack","300878","0","0","0","1","0","0","0","0","0","0","0","1","BoardGame Bliss","","","","","68662899","6.80108","8.49656","2.8571","0","12377","thing","Marvel Champions: The Card Game – Doctor Strange Hero Pack","1","4","90","90","45","2020","1,2,3","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Marvel Champions: The Card Game – Drax Hero Pack","333748","0","0","0","1","0","0","0","0","0","0","0","1","BoardGameBliss","","","","","82563540","6.05353","7.94645","2.8333","0","7434","thing","Marvel Champions: The Card Game – Drax Hero Pack","1","4","90","90","45","2021","1,2,3","2","12+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"Marvel Champions: The Card Game – Gambit Hero Pack","372718","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","104393506","5.95939","8.34356","2.5","0","5294","thing","Marvel Champions: The Card Game – Gambit Hero Pack","1","4","0","0","0","2023","1,2,3","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Marvel Champions: The Card Game – Gamora Hero Pack","333154","0","0","0","1","0","0","0","0","0","0","0","1","BoardgameBliss","","","","","82264525","6.21797","8.2266","2.75","0","7966","thing","Marvel Champions: The Card Game – Gamora Hero Pack","1","4","90","90","45","2021","1,2,3","1,2","12+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"Marvel Champions: The Card Game – Hulk Hero Pack","303708","0","0","0","1","0","0","0","0","0","0","0","1","BoardgameBliss","","","","","69432767","6.13398","7.28253","2.1538","0","10673","thing","Marvel Champions: The Card Game – Hulk Hero Pack","1","4","90","90","45","2020","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Marvel Champions: The Card Game – Ironheart Hero Pack","357957","0","0","0","1","0","0","0","0","0","0","0","1","BoardgameBliss","","","","","94196732","6.03501","8.41993","2.8","0","5672","thing","Marvel Champions: The Card Game – Ironheart Hero Pack","1","4","90","90","45","2022","1,2,3","1,2","12+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"Marvel Champions: The Card Game – Ms. Marvel Hero Pack","291432","0","0","0","1","0","0","0","0","0","0","0","3","Imaginaire","","","","","65334598","6.38472","7.88143","2.7143","0","11345","thing","Marvel Champions: The Card Game – Ms. Marvel Hero Pack","1","4","90","90","45","2019","1,2,3","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Marvel Champions: The Card Game – Mutant Genesis","363709","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","94477973","6.27435","8.61209","3.1667","0","7312","thing","Marvel Champions: The Card Game – Mutant Genesis","1","4","90","90","45","2022","1,2,3","1,2","12+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Marvel Champions: The Card Game – Nebula Hero Pack","340900","0","0","0","1","0","0","0","0","0","0","0","1","BoardGame Bandit","","","","","85588527","5.97147","7.88586","3","0","6707","thing","Marvel Champions: The Card Game – Nebula Hero Pack","1","4","90","90","45","2021","1,2,3,4","1,2","12+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"Marvel Champions: The Card Game – Nova Hero Pack","356075","0","0","0","1","0","0","0","0","0","0","0","1","BoardgameBliss","","","","","94196731","5.9219","8.08265","2.8333","0","5484","thing","Marvel Champions: The Card Game – Nova Hero Pack","1","4","90","90","45","2022","1,2,3,4","2","10+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"Marvel Champions: The Card Game – Phoenix Hero Pack","366645","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","96720461","5.93813","8.16317","2.4","0","5441","thing","Marvel Champions: The Card Game – Phoenix Hero Pack","1","4","90","90","45","2022","1,2,3","1,2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Marvel Champions: The Card Game – Quicksilver Hero Pack","316694","0","0","0","1","0","0","0","0","0","0","0","1","diceOwl","","","","","74278328","6.36501","8.34272","2.8333","0","9323","thing","Marvel Champions: The Card Game – Quicksilver Hero Pack","1","4","90","90","45","2021","1,2,3,4","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Marvel Champions: The Card Game – Rogue Hero Pack","374986","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","104393508","5.86321","8.15369","3","0","5071","thing","Marvel Champions: The Card Game – Rogue Hero Pack","1","4","90","90","45","2023","1,2,3","2","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Marvel Champions: The Card Game – Scarlet Witch Hero Pack","316695","0","0","0","1","0","0","0","0","0","0","0","1","BoardGameBliss","","","","","74278327","6.42412","8.33321","2.8889","0","10154","thing","Marvel Champions: The Card Game – Scarlet Witch Hero Pack","1","4","90","90","45","2021","1,2,3","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Marvel Champions: The Card Game – Sinister Motives","347813","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","89584434","6.46454","8.66181","2.85","0","8953","thing","Marvel Champions: The Card Game – Sinister Motives","1","4","90","90","45","2022","1,2,3","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Marvel Champions: The Card Game – SP//dr Hero Pack","361485","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","94196737","5.96349","8.29318","3.2","0","5417","thing","Marvel Champions: The Card Game – SP//dr Hero Pack","1","4","90","90","45","2022","1,2,3,4","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Marvel Champions: The Card Game – Spider-Ham Hero Pack","360060","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","94196735","5.95496","8.15004","3","0","5542","thing","Marvel Champions: The Card Game – Spider-Ham Hero Pack","1","4","90","90","45","2022","1,2,3,4","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Marvel Champions: The Card Game – Star-Lord Hero Pack","330615","0","0","0","1","0","0","0","0","0","0","0","1","BoardgameBliss","","","","","80093523","6.12121","7.95766","3","0","8276","thing","Marvel Champions: The Card Game – Star-Lord Hero Pack","1","4","60","60","45","2021","1,2,3","2","12+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"Marvel Champions: The Card Game – Storm Hero Pack","370237","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","97945631","5.98857","8.39181","3","0","5463","thing","Marvel Champions: The Card Game – Storm Hero Pack","1","4","90","90","45","2022","1,2,3","1,2","12+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Marvel Champions: The Card Game – The Galaxy's Most Wanted","315896","0","0","0","1","0","0","0","0","0","0","0","1","BoardGameBliss","","","","","74278318","6.29679","7.76348","3.6923","0","10823","thing","Marvel Champions: The Card Game – The Galaxy's Most Wanted","1","4","90","90","45","2021","1,2,3","2","12+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"Marvel Champions: The Card Game – The Green Goblin Scenario Pack","288794","0","0","0","1","0","0","0","0","0","0","0","1","BoardGameBliss","","","","","64624809","6.71916","8.33744","2.8889","0","13294","thing","Marvel Champions: The Card Game – The Green Goblin Scenario Pack","1","4","90","90","45","2019","1,2,3,4","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Marvel Champions: The Card Game – The Hood Scenario Pack","343017","0","0","0","1","0","0","0","0","0","0","0","1","La Pioche","","","","","85588528","6.05935","8.14274","2.8","0","6620","thing","Marvel Champions: The Card Game – The Hood Scenario Pack","1","4","90","90","45","2021","1,2,3,4","1,2","12+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","Fantasy Flight Games","English","2021","English edition"
"Marvel Champions: The Card Game – The Mad Titan's Shadow","339711","0","0","0","1","0","0","0","0","0","0","0","3","BoardGame Bandit","","","","","82921281","6.46063","8.51212","3.1765","0","9941","thing","Marvel Champions: The Card Game – The Mad Titan's Shadow","1","4","90","90","45","2021","1,2,3","1,2","12+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"Marvel Champions: The Card Game – The Once and Future Kang Scenario Pack","314028","0","0","0","1","0","0","0","0","0","0","0","1","BoardGameBliss","","","","","74278320","6.37721","8.3212","3.4545","0","9969","thing","Marvel Champions: The Card Game – The Once and Future Kang Scenario Pack","1","4","90","90","45","2020","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Marvel Champions: The Card Game – The Rise of Red Skull","306430","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","73880499","6.90188","8.38693","2.7742","0","14659","thing","Marvel Champions: The Card Game – The Rise of Red Skull","1","4","90","90","45","2020","1,2,3","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Marvel Champions: The Card Game – The Vision Hero Pack","347812","0","0","0","1","0","0","0","0","0","0","0","1","401Games","","","","","87464695","5.99727","7.98411","2.8","0","6462","thing","Marvel Champions: The Card Game – The Vision Hero Pack","1","4","90","90","45","2022","1,2,3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Marvel Champions: The Card Game – The Wrecking Crew Scenario Pack","294306","0","0","0","1","0","0","0","0","0","0","0","3","BoardGameBliss","","","","","66030334","6.17122","7.52417","2.3","0","10044","thing","Marvel Champions: The Card Game – The Wrecking Crew Scenario Pack","1","4","90","90","45","2020","1,2,3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Marvel Champions: The Card Game – Thor Hero Pack","295782","0","0","0","1","0","0","0","0","0","0","0","1","BoardGameBliss","","","","","66564778","6.34989","7.70188","3","0","11768","thing","Marvel Champions: The Card Game – Thor Hero Pack","1","4","90","90","45","2020","1,2,3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Marvel Champions: The Card Game – Valkyrie Hero Pack","345587","0","0","0","1","0","0","0","0","0","0","0","1","401Games","","","","","85588533","5.819","7.33918","3","0","5822","thing","Marvel Champions: The Card Game – Valkyrie Hero Pack","1","4","90","90","45","2021","1,2,3","1,2","12+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"Marvel Champions: The Card Game – Venom Hero Pack","335739","0","0","0","1","0","0","0","0","0","0","0","1","BoardGameBliss","","","","","82563543","6.2511","8.24308","2.7143","0","8489","thing","Marvel Champions: The Card Game – Venom Hero Pack","1","4","90","90","45","2021","1,2,3","1,2","12+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"Marvel Champions: The Card Game – War Machine Hero Pack","342671","0","0","0","1","0","0","0","0","0","0","0","1","BoardGame Bandit","","","","","85588530","6.03168","8.06858","2.6","0","6246","thing","Marvel Champions: The Card Game – War Machine Hero Pack","1","4","90","90","45","2021","1,2,3,4","1,2","12+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"Marvel Champions: The Card Game – Wasp Hero Pack","316696","0","0","0","1","0","0","0","0","0","0","0","1","GreatBoardgame","","","","","74278330","6.13517","7.85326","3","0","8773","thing","Marvel Champions: The Card Game – Wasp Hero Pack","1","4","90","90","45","2021","1,2,3,4","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Marvel Champions: The Card Game – Wolverine Hero Pack","369039","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","97945630","6.19528","8.59802","2","0","6559","thing","Marvel Champions: The Card Game – Wolverine Hero Pack","1","4","90","90","45","2022","1,2,3","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Marvel Dice Throne: Scarlet Witch v. Thor v. Loki v. Spider-Man","360153","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","121011008","6.3951","7.65335","2.4615","1601","6657","thing","Marvel Dice Throne: Scarlet Witch v. Thor v. Loki v. Spider-Man","2","4","40","40","20","2024","2,3,4","2","10+","","","","","","","standalone","","","","","","","","","","","","Lucky Duck Games","French","2024","French edition"
"Marvel United: Les Gardiens de la Galaxie Remix","302670","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119286672","5.99579","7.99109","2.0667","0","4553","thing","Marvel United: Guardians of the Galaxy Remix","1","4","45","45","30","2023","1,2,3,4","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","CMON Global Limited; Spin Master Ltd.","French","2023","French edition"
"Marvel United: Spider-Geddon","379908","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119286665","6.1268","8.14946","1.8235","2540","4247","thing","Marvel United: Spider-Geddon","1","5","40","40","40","2023","1,2,3,4,5","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Mascarade: The Damned","146565","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","41866471","5.56156","6.54521","1.5","0","1062","thing","Mascarade: The Damned","2","13","30","30","30","2013","4,5,6,7,8","5","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"MATCH 5","306169","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","86542100","5.59007","6.187","1.2","9967","997","thing","MATCH 5","2","8","20","20","20","2021","3,4,5,6,7,8","4,5,6","10+","","","","","","","standalone","","","","","","","","","","A2","","Synapses Games","French","2021","French edition"
"Meadow","314491","8","15","0","1","0","0","0","0","0","0","0","3","","","","","","86084292","7.33624","7.70072","2.2524","217","25884","thing","Meadow","1","4","90","90","60","2021","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","E4","2024-09-12","Rebel Studio","English; French","2021","English/French edition"
"Meadow: Au fil de l'eau","355957","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","101878629","6.55198","8.20436","2.4857","0","7445","thing","Meadow: Downstream","1","4","90","90","60","2022","1,2,3","2","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Rebel Studio","French","2022","French edition"
"Meadow: Seal Promo Card","360057","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","102025596","5.59608","8.26889","2","0","866","thing","Meadow: Seal Promo Card","0","0","0","0","0","2022","","","10+","","","","","","","expansion","","","","","","","","","","","","Rebel Studio","English","2022","English edition"
"Men-Nefer","404431","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","121957365","6.96764","8.16277","3.6776","537","5705","thing","Men-Nefer","1","4","120","120","60","2024","1,2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Ludonova","English; Spanish","2024","English/Spanish edition"
"Merkator","39684","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","39238185","6.32555","7.01758","2.9572","1792","3483","thing","Merkator","1","4","90","90","45","2010","1,2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","B3","2021-07-11","Lookout Games","English","2010","English edition"
"Merlin","230933","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","43770641","6.5112","7.14472","3.1","1302","5518","thing","Merlin","2","4","75","75","75","2017","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","A7","","","","",""
"Merlin: Arthur Expansion","261247","0","0","0","1","0","0","0","0","0","0","0","3","BoardGameBliss","","","","","82882488","5.83838","7.88697","3.2857","0","1742","thing","Merlin: Arthur Expansion","2","4","75","75","75","2018","2,3,4","3","14+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Queen Games","English; French; German","2018","English/French/German edition"
"Merlin: Morgana Expansion","303014","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","121010993","5.5541","7.41397","3.5","0","628","thing","Merlin: Morgana Expansion","2","4","120","120","75","2021","","","","","","","","","","expansion","","","","","","","","","","","","Queen Games","English; German","2021","English/German edition"
"Merv: The Heart of the Silk Road","306040","0","0","0","1","0","0","0","0","0","0","0","3","BoardGameBliss","","","","","71519757","6.78521","7.47185","3.4355","776","8630","thing","Merv: The Heart of the Silk Road","1","4","90","90","90","2020","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","A7","2021-07-11","","","",""
"Mille Fiori","346501","7.5","4","0","1","0","0","0","0","0","0","0","3","Philibert","","","","","92506799","6.84852","7.41808","2.1722","693","9881","thing","Mille Fiori","2","4","90","90","60","2022","3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Schmidt Spiele","French","2022","French edition"
"Mille Fiori: The Masterpieces","377715","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","101889723","5.81506","7.7655","2.7692","0","2109","thing","Mille Fiori: The Masterpieces","2","4","90","90","60","2023","2,3,4","4","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Schmidt Spiele","English; French","2023","English/French edition"
"Millennia: Tracks of Time","356883","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","132007993","5.88241","7.60983","3.375","4026","1488","thing","Millennia: Tracks of Time","1","4","120","120","30","2025","1,2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Karma Games","English","2025","English edition"
"The Mind","244992","0","7","0","1","0","0","0","0","0","0","0","1","","","","","","51220738","6.59145","6.71415","1.0742","1121","69932","thing","The Mind","2","4","20","20","20","2018","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","P1","2021-07-11","","","",""
"Mini Express","300751","7.8","0","0","1","0","0","0","0","0","0","0","3","Kickstarter","","","","","71123800","6.14363","7.26145","2.3208","2458","2681","thing","Mini Express","1","5","45","45","30","2021","1,2,3,4,5","3,4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","A3","","Moaideas Game Design","English; German","2021","English edition MGD1025E"
"Mini Express: Expansion Map Pack 1 & Map Pack 2","406874","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","114050397","5.53591","7.9575","3","0","530","thing","Mini Express: Expansion Map Pack 1 & Map Pack 2","1","3","60","60","45","2023","2,3","3","","","","","","","","expansion","","","","","","","","","","A3","","Moaideas Game Design","English","2023","English edition"
"Minos: Dawn of Faith","436060","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","131550191","5.54704","7.8866","0","0","551","thing","Minos: Dawn of Faith","1","4","150","150","90","2025","","","","","","","","","","expansion","","","","","","","","","","","","Board&Dice","English","2025","English edition"
"Minos: Dawn of the Bronze Age","423401","8.2","5","0","1","0","0","0","0","0","0","0","3","BGBliss","","","","","121764034","6.29777","7.54039","3.7073","1881","3244","thing","Minos: Dawn of the Bronze Age","1","4","150","150","90","2024","1,2,3","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Board&Dice","English","2024","English edition"
"Minos: Dawn of the Bronze Age – Expanded Progress Tracks Promo","453097","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135954665","0","7.57143","0","0","105","thing","Minos: Dawn of the Bronze Age – Expanded Progress Tracks Promo","1","4","0","0","0","2025","","","","","","","","","","expansion","","","","","","","","","","","","Board&Dice","English","2025","English edition"
